station_id,station_name,lat,lng
31000,Eads St & 15th St S,38.858971,-77.05323
31001,18th St & S Eads St,38.85725,-77.05332
31002,Crystal Dr & 20th St S,38.856425,-77.049232
31003,Crystal Dr & 15th St S,38.86017,-77.049593
31004,Aurora Hills Cmty Ctr / 18th St & S Hayes St,38.857866,-77.05949
31005,Pentagon City Metro / 12th St & S Hayes St,38.862303,-77.059936
31006,Army Navy Dr & S Joyce St,38.8637,-77.0633
31007,Crystal City Metro / 18th St & S Bell St,38.857404,-77.051131
31009,Crystal Dr & 27th St S,38.848466,-77.051514
31010,S Glebe Rd & Potomac Ave,38.8426,-77.0502
31011,Crystal Dr & 23rd St S,38.8533,-77.0498
31012,Clark St & 26th St S,38.850688,-77.05152
31013,Eads St & 22nd St S,38.85438,-77.053411
31014,Lynn St & 19th St North,38.897315,-77.070993
31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8946,-77.072305
31016,Clarendon Blvd & Pierce St,38.893438,-77.076389
31017,Wilson Blvd & N Uhle St,38.891696,-77.0846
31018,Rhodes St & 16th St N,38.892164,-77.079375
31019,Wilson Blvd & N Edgewood St,38.889,-77.0925
31020,Wilson Blvd & N Franklin Rd,38.8904,-77.0889
31021,Clarendon Blvd & N Fillmore St,38.88801933,-77.09327617
31022,Clarendon Metro / Wilson Blvd & N Highland St,38.88786,-77.094875
31023,Fairfax Dr & Wilson Blvd,38.885801,-77.097745
31024,Virginia Square Metro / Monroe St & 9th St N,38.882788,-77.103148
31025,Central Library / Quincy St & 10th St N,38.88397,-77.10783
31026,Washington Blvd & 10th St N,38.884734,-77.093485
31027,Key Blvd & N Quinn St,38.896355,-77.078408
31028,N Veitch St & Key Blvd,38.893237,-77.086063
31029,N Veitch St & 20th St N,38.896923,-77.086502
31030,Lee Hwy & N Adams St,38.89593,-77.089006
31031,15th St & N Scott St,38.89046133,-77.08066817
31032,Washington Blvd & 7th St N,38.88081,-77.090792
31033,Barcroft Community Center,38.85033267,-77.1009355
31034,Fairfax Dr & N Randolph St,38.882629,-77.109366
31035,N Quincy St & Glebe Rd,38.876393,-77.107735
31036,George Mason Dr & Wilson Blvd,38.87887,-77.1207
31037,Ballston Metro / Stuart St & 9th St N,38.881044,-77.111768
31038,Glebe Rd & 11th St N,38.883921,-77.116817
31039,Wilson Blvd & N Quincy St,38.880012,-77.107854
31040,GMU / Fairfax Dr & Kenmore St,38.884616,-77.10108
31041,Prince St & Union St,38.803124,-77.040363
31042,Market Square / King St & Royal St,38.804718,-77.043363
31043,St Asaph & Pendleton St,38.810741,-77.044632
31044,King St & Patrick St,38.805317,-77.049883
31045,Commerce St & Fayette St,38.805648,-77.05293
31046,Henry St & Pendleton St,38.811456,-77.050276
31047,Braddock Rd Metro,38.814577,-77.052808
31048,King St Metro South,38.805763,-77.060627
31049,Utah St & 11th St N,38.883669,-77.113905
31050,Barton St & 10th St N,38.884961,-77.08777
31051,Arlington Blvd & N Queen St,38.889365,-77.077294
31052,Potomac Ave & 35th St S,38.84401333,-77.05044233
31053,Columbia Pike & S Courthouse Rd,38.86393283,-77.08037317
31054,Wakefield High School,38.847129,-77.11255
31055,28th St & S Meade St,38.846222,-77.069275
31056,Troy St & 26th St S,38.847977,-77.075104
31057,Four Mile Run Dr & S Shirlington Rd,38.8444,-77.085931
31058,Columbia Pike & S Oakland St,38.860789,-77.09586
31059,Four Mile Run Dr & S Walter Reed Dr,38.84736,-77.095431
31060,S Arlington Mill Dr & Campbell Ave,38.84232,-77.089555
31061,Kenmore St & 24th St S,38.848454,-77.084918
31062,Roosevelt Island,38.896553,-77.06714
31063,S George Mason & Four Mile Run Dr,38.852248,-77.105022
31064,Gravelly Point,38.865029,-77.039511
31065,Pershing Dr & Wayne St,38.880705,-77.08596
31066,Columbia Pike & S Orme St,38.867262,-77.072315
31067,Columbia Pike & S Walter Reed Dr,38.862478,-77.086599
31068,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,38.856319,-77.11153
31069,Pershing Dr & N George Mason Dr,38.87179,-77.107921
31070,Arlington Blvd & Fillmore St,38.873755,-77.089233
31071,Eads St & 12th St S,38.862753,-77.05428
31072,31st St & S Woodrow St,38.837666,-77.09482
31073,Washington Blvd & Walter Reed Dr ,38.873219,-77.082104
31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,38.869418,-77.095596
31075,Rolfe St & 9th St S,38.866471,-77.076131
31076,Shirlington Transit Center / Quincy St & Randolph St,38.839912,-77.087083
31077,Iwo Jima Memorial / Meade & 14th St N,38.88992,-77.071301
31078,Arlington Blvd & S George Mason Dr,38.869442,-77.104503
31079,Lee Hwy & N Cleveland St,38.894941,-77.09169
31080,Lee Hwy & N Scott St,38.897612,-77.080851
31081,Duke St & John Carlyle St,38.804378,-77.060866
31082,Eisenhower Ave & Mill Race Ln,38.801111,-77.068952
31083,Potomac Greens Dr & Slaters Ln,38.82175,-77.047494
31084,Ballenger Ave & Dulaney St,38.802677,-77.063562
31085,Mount Vernon Ave & E Nelson Ave,38.820064,-77.057619
31086,Mount Vernon Ave & E Del Ray Ave,38.82595,-77.058541
31087,Monroe Ave & Leslie Ave,38.820932,-77.053096
31088,Mount Vernon Ave & Kennedy St,38.833077,-77.059821
31089,Court House Metro / 15th St & N Uhle St,38.890612,-77.084801
31090,Long Bridge Park / Long Bridge Dr & 6th St S,38.865553,-77.05003
31091,Joyce St & 16th St S,38.859254,-77.063275
31092,Lee Hwy & N Monroe St,38.896456,-77.104562
31093,21st St & N Pierce St,38.898984,-77.078317
31094,Lee Hwy & N Kirkwood Rd,38.895377,-77.09713
31095,Army Navy Dr & S Nash St,38.86215025,-77.06812084
31096,Walter Reed Dr & 8th St S,38.86612,-77.08787
31097,Saint Asaph St & Madison St,38.812718,-77.044097
31098,King St Metro North / Cameron St,38.80704,-77.059817
31099,Madison St & N Henry St,38.813485,-77.049468
31100,19th St & Pennsylvania Ave NW,38.9003,-77.0429
31101,14th & V St NW,38.917727,-77.0317425
31102,11th & Kenyon St NW,38.92950983,-77.0278095
31103,16th & Harvard St NW,38.926088,-77.036536
31104,Adams Mill & Columbia Rd NW,38.922925,-77.042581
31105,14th & Harvard St NW,38.9268,-77.0322
31106,Calvert & Biltmore St NW,38.923203,-77.047637
31107,Lamont & Mt Pleasant NW,38.9319,-77.0388
31108,4th & M St SW,38.8767,-77.0178
31109,7th & T St NW,38.9155,-77.0222
31110,20th St & Florida Ave NW,38.9154,-77.0446
31111,10th & U St NW,38.9172,-77.0259
31112,Harvard St & Adams Mill Rd NW,38.927872,-77.043358
31113,Columbia Rd & Belmont St NW,38.920669,-77.04368
31114,18th St & Wyoming Ave NW,38.918809,-77.041571
31115,Columbia Rd & Georgia Ave NW,38.928121,-77.023794
31116,California St & Florida Ave NW,38.917761,-77.04062
31117,15th & Euclid St  NW,38.92333,-77.0352
31118,3rd & Elm St NW,38.917622,-77.01597
31119,14th & Belmont St NW,38.921074,-77.031887
31120,10th & Florida Ave NW,38.920387,-77.025672
31121,Calvert St & Woodley Pl NW,38.923583,-77.050046
31122,16th & Irving St NW,38.928893,-77.03625
31123,14th & Girard St NW,38.925284,-77.032375
31124,14th & Irving St NW,38.928552,-77.032224
31125,15th & W St NW,38.919018,-77.034449
31126,11th & Girard St NW,38.925636,-77.027112
31127,22nd & H St NW,38.89892547,-77.04885238
31128,23rd & M St NW,38.9053715,-77.05036433
31129,15th St & Pennsylvania Ave NW,38.896464,-77.03338
31130,7th & S St NW,38.914204,-77.022174
31131,14th & Otis Pl NW,38.934405,-77.032687
31132,13th & U St NW,38.91693645,-77.02963114
31133,20th & Columbia Rd NW,38.91824833,-77.04536383
31200,Massachusetts Ave & Dupont Circle NW,38.9101,-77.0444
31201,15th & P St NW,38.909868,-77.034421
31202,14th & R St NW,38.91301767,-77.0321005
31203,14th & Rhode Island Ave NW,38.9086,-77.0323
31204,20th & E St NW,38.8963,-77.045
31205,21st & I St NW,38.90071,-77.046448
31206,19th & E Street NW,38.8952,-77.0436
31207,Georgia Ave and Fairmont St NW,38.9249,-77.0222
31208,M St & New Jersey Ave SE,38.8763,-77.0037
31209,1st & N St  SE,38.8743,-77.0057
31211,Kennedy Center,38.897293,-77.05557
31212,New Hampshire Ave & Ward Pl NW,38.90571,-77.047317
31213,17th & K St NW,38.90276,-77.03863
31214,17th & Corcoran St NW,38.9121,-77.0387
31215,Georgetown Harbor / 30th St NW,38.902221,-77.059219
31216,14th St & New York Ave NW,38.899632,-77.031686
31217,USDA / 12th & C St SW,38.88627695,-77.02824175
31218,L'Enfant Plaza / 7th & C St SW,38.886266,-77.022241
31219,10th St & Constitution Ave NW,38.893028,-77.026013
31220,US Dept of State / Virginia Ave & 21st St NW,38.894919,-77.046587
31221,18th & M St NW,38.905066,-77.041778
