Index,Year,File Name,Path,Note
0,2010,2010-capitalbikeshare-tripdata,,
1,2011,2011-capitalbikeshare-tripdata,,
2,2012,2012Q1-capitalbikeshare-tripdata,,
3,2012,2012Q2-capitalbikeshare-tripdata,,
4,2012,2012Q3-capitalbikeshare-tripdata,,
5,2012,2012Q4-capitalbikeshare-tripdata,,
6,2013,2013Q1-capitalbikeshare-tripdata,,
7,2013,2013Q2-capitalbikeshare-tripdata,,
8,2013,2013Q3-capitalbikeshare-tripdata,,
9,2013,2013Q4-capitalbikeshare-tripdata,,
10,2014,2014Q1-capitalbikeshare-tripdata,,
11,2014,2014Q2-capitalbikeshare-tripdata,,
12,2014,2014Q3-capitalbikeshare-tripdata,,
13,2014,2014Q4-capitalbikeshare-tripdata,,
14,2015,2015Q1-capitalbikeshare-tripdata,,
15,2015,2015Q2-capitalbikeshare-tripdata,,
16,2015,2015Q3-capitalbikeshare-tripdata,,
17,2015,2015Q4-capitalbikeshare-tripdata,,
18,2016,2016Q1-capitalbikeshare-tripdata,,
19,2016,2016Q2-capitalbikeshare-tripdata,,
20,2016,2016Q3-capitalbikeshare-tripdata,,
21,2016,2016Q4-capitalbikeshare-tripdata,,
22,2017,2017Q1-capitalbikeshare-tripdata,,
23,2017,2017Q2-capitalbikeshare-tripdata,,
24,2017,2017Q3-capitalbikeshare-tripdata,,
25,2017,2017Q4-capitalbikeshare-tripdata,,
26,2018,201801_capitalbikeshare_tripdata,,
27,2018,201802-capitalbikeshare-tripdata,,
28,2018,201803-capitalbikeshare-tripdata,,
29,2018,201804-capitalbikeshare-tripdata,,
30,2018,201805-capitalbikeshare-tripdata,,
31,2018,201806-capitalbikeshare-tripdata,,
32,2018,201807-capitalbikeshare-tripdata,,
33,2018,201808-capitalbikeshare-tripdata,,
34,2018,201809-capitalbikeshare-tripdata,,
35,2018,201810-capitalbikeshare-tripdata,,
36,2018,201811-capitalbikeshare-tripdata,,
37,2018,201812-capitalbikeshare-tripdata,,
38,2019,201901-capitalbikeshare-tripdata,,
39,2019,201902-capitalbikeshare-tripdata,,
40,2019,201903-capitalbikeshare-tripdata,,
41,2019,201904-capitalbikeshare-tripdata,,
42,2019,201905-capitalbikeshare-tripdata,,
43,2019,201906-capitalbikeshare-tripdata,,
44,2019,201907-capitalbikeshare-tripdata,,
45,2019,201908-capitalbikeshare-tripdata,,
46,2019,201909-capitalbikeshare-tripdata,,
47,2019,201910-capitalbikeshare-tripdata,,
48,2019,201911-capitalbikeshare-tripdata,,
49,2019,201912-capitalbikeshare-tripdata,,
50,2020,202001-capitalbikeshare-tripdata,,
51,2020,202002-capitalbikeshare-tripdata,,
52,2020,202003-capitalbikeshare-tripdata,,
53,2020,202005-capitalbikeshare-tripdata,,* 202004 file is missing in the website
54,2020,202006-capitalbikeshare-tripdata,,
55,2020,202007-capitalbikeshare-tripdata,,
56,2020,202008-capitalbikeshare-tripdata,,
57,2020,202009-capitalbikeshare-tripdata,,
58,2020,202010-capitalbikeshare-tripdata,,
59,2020,202011-capitalbikeshare-tripdata,,
60,2020,202012-capitalbikeshare-tripdata,,
61,2021,202101-capitalbikeshare-tripdata,,
62,2021,202102-capitalbikeshare-tripdata,,
63,2021,202103-capitalbikeshare-tripdata,,
64,2021,202104-capitalbikeshare-tripdata,,
65,2021,202105-capitalbikeshare-tripdata,,
